mint,creation_time,transaction_count_0to5s,buy_pressure_0to5s,volume_0to5s,rsi_0to5s,price_volatility_0to5s,volume_volatility_0to5s,momentum_0to5s,trade_amount_variance_0to5s,transaction_rate_0to5s,trade_concentration_0to5s,unique_wallets_0to5s,transaction_count_5to10s,buy_pressure_5to10s,volume_5to10s,rsi_5to10s,price_volatility_5to10s,volume_volatility_5to10s,momentum_5to10s,trade_amount_variance_5to10s,transaction_rate_5to10s,trade_concentration_5to10s,unique_wallets_5to10s,transaction_count_10to15s,buy_pressure_10to15s,volume_10to15s,rsi_10to15s,price_volatility_10to15s,volume_volatility_10to15s,momentum_10to15s,trade_amount_variance_10to15s,transaction_rate_10to15s,trade_concentration_10to15s,unique_wallets_10to15s,transaction_count_15to20s,buy_pressure_15to20s,volume_15to20s,rsi_15to20s,price_volatility_15to20s,volume_volatility_15to20s,momentum_15to20s,trade_amount_variance_15to20s,transaction_rate_15to20s,trade_concentration_15to20s,unique_wallets_15to20s,transaction_count_20to25s,buy_pressure_20to25s,volume_20to25s,rsi_20to25s,price_volatility_20to25s,volume_volatility_20to25s,momentum_20to25s,trade_amount_variance_20to25s,transaction_rate_20to25s,trade_concentration_20to25s,unique_wallets_20to25s,transaction_count_25to30s,buy_pressure_25to30s,volume_25to30s,rsi_25to30s,price_volatility_25to30s,volume_volatility_25to30s,momentum_25to30s,trade_amount_variance_25to30s,transaction_rate_25to30s,trade_concentration_25to30s,unique_wallets_25to30s,transaction_count_0to10s,buy_pressure_0to10s,volume_0to10s,rsi_0to10s,price_volatility_0to10s,volume_volatility_0to10s,momentum_0to10s,trade_amount_variance_0to10s,transaction_rate_0to10s,trade_concentration_0to10s,unique_wallets_0to10s,transaction_count_10to20s,buy_pressure_10to20s,volume_10to20s,rsi_10to20s,price_volatility_10to20s,volume_volatility_10to20s,momentum_10to20s,trade_amount_variance_10to20s,transaction_rate_10to20s,trade_concentration_10to20s,unique_wallets_10to20s,transaction_count_20to30s,buy_pressure_20to30s,volume_20to30s,rsi_20to30s,price_volatility_20to30s,volume_volatility_20to30s,momentum_20to30s,trade_amount_variance_20to30s,transaction_rate_20to30s,trade_concentration_20to30s,unique_wallets_20to30s,transaction_count_0to20s,buy_pressure_0to20s,volume_0to20s,rsi_0to20s,price_volatility_0to20s,volume_volatility_0to20s,momentum_0to20s,trade_amount_variance_0to20s,transaction_rate_0to20s,trade_concentration_0to20s,unique_wallets_0to20s,transaction_count_0to30s,buy_pressure_0to30s,volume_0to30s,rsi_0to30s,price_volatility_0to30s,volume_volatility_0to30s,momentum_0to30s,trade_amount_variance_0to30s,transaction_rate_0to30s,trade_concentration_0to30s,unique_wallets_0to30s,initial_investment_ratio,initial_market_cap,peak_market_cap,time_to_peak,hit_peak_before_30
3boyK6L2rrFT4BquJNzDNv2LoDdw8Bd1SxiutCUQpump,2025-01-10T21:11:36.104260,3,0.6666666666666666,4.029105696,0.0002924780568065444,0.05243073262229494,0.7071592917813859,-0.10354456822945722,0.902005770328687,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3,0.6666666666666666,4.029105696,0.0002924780568065444,0.05243073262229494,0.7071592917813859,-0.10354456822945722,0.902005770328687,0.3,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3,0.6666666666666666,4.029105696,0.0002924780568065444,0.05243073262229494,0.7071592917813859,-0.10354456822945722,0.902005770328687,0.15,0.0,1,3,0.6666666666666666,4.029105696,0.0002924780568065444,0.05243073262229494,0.7071592917813859,-0.10354456822945722,0.902005770328687,0.1,0.0,1,1.0,34.759319658419706,251.5636851725362,190.371904,False
3ZssqrW1PP154yFj8sRaRo9FWZbuZ7ZVNLPbnyJDpump,2025-01-10T21:12:39.370203,3,1.0,2.6573120859999997,0.0,0.018856938402158633,0.8276776519699616,0.04654445839040995,0.5374834228150579,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.00999,50,0.0,0.0,0,0.0,0.2,0.0,1,1,0.0,0.00999,50,0.0,0.0,0,0.0,0.2,0.0,1,1,1.0,0.04,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,3,1.0,2.6573120859999997,0.0,0.018856938402158633,0.8276776519699616,0.04654445839040995,0.5374834228150579,0.3,0.0,1,2,0.5,0.01998,0.0,0.0003016094182951178,0.0,-0.0006030369549650381,0.0,0.2,0.0,1,1,1.0,0.04,50,0.0,0.0,0,0.0,0.1,0.0,1,5,0.8,2.677292086,98.6791053336008,0.017581872442044733,1.3292086702714956,0.04654445839040995,0.5065680920054835,0.25,0.0,1,6,0.8333333333333334,2.717292086,98.74548502631657,0.0168758093287547,1.4914508116316298,0.049074075475813786,0.45623438822322643,0.2,0.0,1,1.0,32.556034674780435,34.15369197760382,21.810472,True
6p56iWkiougi3D68j4dRLt1sVS2D5jBuX27e81R3pump,2025-01-10T21:13:10.177621,10,1.0,6.4164466860000005,0.0,0.1223040325527685,0.5713747521629615,0.3968933999839672,0.1344099043394718,2.0,0.0,1,6,0.5,3.260680463000001,49.416122164425644,0.019014168444550044,0.6765418654377361,-0.0012460936477569802,0.13517716532335794,1.2,0.0,1,1,0.0,0.097604108,50,0.0,0.0,0,0.0,0.2,0.0,1,1,1.0,0.01988374,50,0.0,0.0,0,0.0,0.2,0.0,1,2,1.0,1.082669083,0.0,0.01438535754882521,0.09457164761395523,0.029190632787373244,0.0026209177348151032,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,16,0.8125,9.677127149,87.41106942619723,0.13542026586030098,0.6118806347444021,0.47321698389648564,0.1369576660588541,1.6,0.0,1,2,0.5,0.11748784799999999,0.0,0.0004922779517680935,0.6615183554983491,0.0009850408174121906,0.0015101139005138558,0.2,0.0,1,2,1.0,1.082669083,0.0,0.01438535754882521,0.09457164761395523,0.029190632787373244,0.0026209177348151032,0.2,0.0,1,18,0.7777777777777778,9.794614997,86.47177270841942,0.13225110182479224,0.7149741375144226,0.46756520405358765,0.15135974730219812,0.9,0.0,1,20,0.8,10.87728408,87.96798157533881,0.1322750721534814,0.6792888609267157,0.5472745143401819,0.13648657536683356,0.6666666666666666,0.0,1,1.0,34.55180178921123,53.46112233298004,21.743095,True
7jFSNwiZ6ntujxNSc6j68KMo9mRKqbtLo2xprNAhpump,2025-01-10T21:14:53.885864,2,1.0,0.49189754900000005,0.0,0.007901865510209409,0.008192464077514644,0.01592960461370714,4.05992880040225e-06,0.4,0.0,1,3,1.0,0.811154442,0.0,0.018901771502016763,0.6246116380298278,0.04579660453743764,0.0285223126408647,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,9,1.0,2.332090891,0.0,0.03564909686945499,0.5911842721713508,0.11664811548049175,0.023466680993664092,1.8,0.0,1,16,0.8125,4.136548406,60.65515571132657,0.027525967549728497,0.938741234075366,0.04161225825410859,0.05890172931163394,3.2,0.0,1,1,1.0,0.5,50,0.0,0.0,0,0.0,0.2,0.0,1,5,1.0,1.303051991,0.0,0.022856844590749634,0.5040893515095539,0.06980562976749964,0.017258320362385914,0.5,0.0,1,9,1.0,2.332090891,0.0,0.03564909686945499,0.5911842721713508,0.11664811548049175,0.023466680993664092,0.9,0.0,1,17,0.8235294117647058,4.636548406,65.8039305905476,0.02673942054035444,0.8880621487480489,0.07101306194584542,0.058664918724786345,1.7,0.0,1,14,1.0,3.635142882,0.0,0.06928056339544834,0.5614165153601114,0.2324540341038058,0.021249918501127927,0.7,0.0,1,31,0.9032258064516129,8.271691288,82.96332748768421,0.11081089901297782,0.7663173047349073,0.3842518049385622,0.041810225792009034,1.0333333333333334,0.0,1,1.0,29.370527237508266,59.420180067469296,55.998389,False
C9gDB9wsVb3ReKQft2kVJNKFSHY9s7ykPY6LqUP8pump,2025-01-10T21:15:38.286097,3,1.0,2.810321439,0.0,0.06742312660851604,0.7929271425080068,0.1740598060786215,0.5517420094102731,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,3,0.6666666666666666,2.32299096,0.4159805377799728,0.06152783465749572,1.1888217346234384,-0.11982030243546762,0.847395206488656,0.6,0.0,1,1,1.0,0.008801634,50,0.0,0.0,0,0.0,0.2,0.0,1,5,1.0,1.97529937,0.0,0.03859337132668658,0.4533637905443899,0.11281127393744773,0.03207890262729153,1.0,0.0,1,0,0,0,50,0,0,0,0,0,0,0,3,1.0,2.810321439,0.0,0.06742312660851604,0.7929271425080068,0.1740598060786215,0.5517420094102731,0.3,0.0,1,4,0.75,2.331792594,0.8228397404569705,0.05700915498500373,1.481060736403974,-0.11932463411695156,0.7454278115706582,0.4,0.0,1,5,1.0,1.97529937,0.0,0.03859337132668658,0.4533637905443899,0.11281127393744773,0.03207890262729153,0.5,0.0,1,7,0.8571428571428571,5.142114033,57.34087701378279,0.062311478009959516,1.1333073721386142,0.04934185901894863,0.6930790231000115,0.35,0.0,1,12,0.9166666666666666,7.117413403,69.67867451384748,0.056312035889109116,1.125567073687328,0.18609175975981426,0.44568154591389225,0.4,0.0,1,1.0,28.951810624433723,38.716093747310616,369.104167,False
yj5zDZBEbAkqMDTstVtV9YY9SRe2jWGyvfe73jcpump,2025-01-10T21:15:21.439730,4,0.75,1.600123042,54.643857680168075,0.010953369455876782,0.26377395027837375,0.0061651692911799845,0.011133983732293984,0.8,0.0,1,11,0.8181818181818182,9.441173845000002,89.93968139872388,0.1158893083486931,0.38797483779547365,0.43088347962702933,0.11088523962107005,2.2,0.0,1,2,0.5,4.685828632,0.0,0.11791636255045487,0.9790816507179515,-0.21095739627862,5.261997469744301,0.4,0.0,1,3,1.0,1.427395006,0.0,0.028229963906549332,0.8046213367493976,0.06737514534220114,0.14656454573952368,0.6,0.0,1,7,0.8571428571428571,1.9175632139999998,88.83589537932328,0.029800444467193446,1.1125002403818816,0.07878970680106735,0.09287600503339148,1.4,0.0,1,16,0.5625,7.6184547899999995,31.293402307397315,0.151965948449895,1.1092271733003942,-0.2070233473928436,0.27895543307428516,3.2,0.0,1,15,0.8,11.041296887,87.54924949290869,0.16461595094956874,0.4809900862581237,0.5320617438966532,0.12535160747519197,1.5,0.0,1,5,0.8,6.113223638,22.793804932892982,0.08874122567631688,1.4235690390414935,-0.1486758431500616,3.0294070158040385,0.5,0.0,1,23,0.6521739130434783,9.536018004,43.819537269996864,0.14995055892991496,1.1591723793348474,-0.09767509409308901,0.23098006602914614,2.3,0.0,1,20,0.8,17.154520525,63.57964671728486,0.14926548056390138,1.1034325548095523,0.3073669377375417,0.8957540124223937,1.0,0.0,1,43,0.7209302325581395,26.690538529,54.156606780429165,0.1539221199273895,1.23645550624092,0.18002171866454147,0.5890263831595539,1.4333333333333333,0.0,1,1.0,34.846592344743264,77.08148203896161,106.107794,False
4roNfR4x8Vz6AR4gajRj7XunE2TesJ2ncBLDx3jipump,2025-01-10T21:14:45.326779,1,1.0,1.563218272,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.15,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,1.563218272,50,0.0,0.0,0,0.0,0.1,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.15,50,0.0,0.0,0,0.0,0.1,0.0,1,1,1.0,1.563218272,50,0.0,0.0,0,0.0,0.05,0.0,1,2,1.0,1.713218272,0.0,0.004739576690276355,0.824890964039403,0.009524294504778888,0.49929647107866654,0.06666666666666667,0.0,1,1.0,30.968254490278927,31.46250194196078,31.295141,False
5965e7K4RjgJjBrgLi66LHvowkX3aAPkELCxsfwspump,2025-01-10T21:16:05.140077,2,1.0,0.188354037,0.0,0.0006505582188054942,0.7915181610893746,0.0013019634406278733,0.005556632088095221,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.5,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,1.0,0.188354037,0.0,0.0006505582188054942,0.7915181610893746,0.0013019634406278733,0.005556632088095221,0.2,0.0,1,1,1.0,0.5,50,0.0,0.0,0,0.0,0.1,0.0,1,0,0,0,50,0,0,0,0,0,0,0,3,1.0,0.688354037,0.0,0.015888963703931454,0.8749364466938082,0.034742894077780986,0.040302708572852224,0.15,0.0,1,3,1.0,0.688354037,0.0,0.015888963703931454,0.8749364466938082,0.034742894077780986,0.040302708572852224,0.1,0.0,1,1.0,28.278109214279755,34.079452120830204,341.672165,False
AAGTvt2WbBunMmMR2t25N5irN1LKuSBetFuSKaSEpump,2025-01-10T21:14:30.050035,3,1.0,1.817972837,0.0,0.018692104564197037,0.5938617795467228,0.04623129636230193,0.1295099158552953,0.6,0.0,1,1,1.0,0.01,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4,1.0,1.827972837,0.0,0.018442521819955166,0.8854395383922025,0.046880867748622664,0.16373341326334293,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4,1.0,1.827972837,0.0,0.018442521819955166,0.8854395383922025,0.046880867748622664,0.16373341326334293,0.2,0.0,1,4,1.0,1.827972837,0.0,0.018442521819955166,0.8854395383922025,0.046880867748622664,0.16373341326334293,0.13333333333333333,0.0,1,1.0,30.821071873563184,37.13113255131012,318.551858,False
AEjC6pjHEseW46rdcy3GjrC6tuH8JKYSxLyytREopump,2025-01-10T21:18:01.697691,2,1.0,0.01988775,0.0,0.0006522714953209126,0.9849153373307689,0.0013053944622396937,9.591998751562498e-05,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,2,0.5,0.050149699,0.0,0.0016504341611830336,0.9940100936597844,0.00330632519441491,0.0006212383520950622,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,1.0,0.01988775,0.0,0.0006522714953209126,0.9849153373307689,0.0013053944622396937,9.591998751562498e-05,0.2,0.0,1,2,0.5,0.050149699,0.0,0.0016504341611830336,0.9940100936597844,0.00330632519441491,0.0006212383520950622,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,4,0.75,0.070037449,99.78519592195049,0.001700842289242528,1.1646090179295998,0.004606066154429174,0.00041581576713525624,0.2,0.0,1,4,0.75,0.070037449,99.78519592195049,0.001700842289242528,1.1646090179295998,0.004606066154429174,0.00041581576713525624,0.13333333333333333,0.0,1,1.0,28.427200218157772,30.7290105420466,481.111592,False
D13kDbiv21x2W61ED7xfns7r3QapDj533oUHEKVypump,2025-01-10T21:09:45.448362,2,0.5,1.181337098,0.0,0.018872332381349048,0.0,-0.03704552922197795,0.0,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0.5,1.181337098,0.0,0.018872332381349048,0.0,-0.03704552922197795,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0.5,1.181337098,0.0,0.018872332381349048,0.0,-0.03704552922197795,0.0,0.1,0.0,1,2,0.5,1.181337098,0.0,0.018872332381349048,0.0,-0.03704552922197795,0.0,0.06666666666666667,0.0,1,1.0,31.002495786573157,52.34175818878691,600.177128,False
6aWvtTGK3E6jxgvHLvnz5E2YSFmr6C1wfKXFAyLJpump,2025-01-10T21:20:49.154838,1,1.0,1.9785,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,1.0,1.9785,50,0.0,0.0,0,0.0,0.1,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,1.0,1.9785,50,0.0,0.0,0,0.0,0.05,0.0,1,1,1.0,1.9785,50,0.0,0.0,0,0.0,0.03333333333333333,0.0,1,1.0,32.06711749753889,32.06711749753889,0.0,True
BYaU88poXvN3qafR9xKxGsbJjf2e14BAcWUBtehipump,2025-01-10T21:16:25.704679,1,1.0,0.5,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,9,0.8888888888888888,7.029059874999999,77.11934456298889,0.10160548183289353,0.7080222302514041,0.3001410876644648,0.30577590068351895,1.8,0.0,1,5,0.8,1.128664695,82.12128769538522,0.014752262738766623,0.5466629800672115,0.031175412849776075,0.015227520791666931,1.0,0.0,1,0,0,0,50,0,0,0,0,0,0,0,4,0.0,0.961941514,0.0,0.014435628068528276,0.5399382733592053,-0.03793080843769396,0.016860310938707265,0.8,0.0,1,1,1.0,0.5,50,0.0,0.0,0,0.0,0.1,0.0,1,14,0.8571428571428571,8.15772457,78.22227770415593,0.08863742383197404,0.8963547471511355,0.35777603814108505,0.2727984199801302,1.4,0.0,1,4,0.0,0.961941514,0.0,0.014435628068528276,0.5399382733592053,-0.03793080843769396,0.016860310938707265,0.4,0.0,1,15,0.8666666666666667,8.65772457,80.123399056624,0.10978121096760146,0.8749624091608883,0.44540474247669587,0.25503735902271896,0.75,0.0,1,19,0.6842105263157895,9.619666084,72.95793157957586,0.09862210537468266,0.9342477675280972,0.3727953367283377,0.22373654632269838,0.6333333333333333,0.0,1,1.0,30.727011494252864,50.91152080729869,62.706809,False
GViBoJYx888ncE2EteBwLoWAZjQCZXS8zfWH9eMhpump,2025-01-10T21:16:14.496172,1,1.0,0.196039603,50,0.0,0.0,0,0.0,0.2,0.0,1,1,1.0,0.107013738,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,3,0.3333333333333333,2.141982,0.0,0.06140649473551728,1.299551168854282,-0.12761087938817353,0.8609459607965083,0.6,0.0,1,4,1.0,2.120867923,61.39001793365512,0.03489204778802071,1.1193568431962189,0.03972620803515263,0.352244630866486,0.8,0.0,1,1,0.0,0.179391487,50,0.0,0.0,0,0.0,0.2,0.0,1,2,1.0,0.30305334100000003,0.0,0.0033182929765841786,0.29376302107819363,0.006658681408920891,0.0019814011597495567,0.2,0.0,1,3,0.3333333333333333,2.141982,0.0,0.06140649473551728,1.299551168854282,-0.12761087938817353,0.8609459607965083,0.3,0.0,1,5,0.8,2.3002594100000002,57.41351313863436,0.031896629674904795,1.1935164178561641,0.027647788865900587,0.3014882690235778,0.5,0.0,1,5,0.6,2.445035341,5.3571360296896415,0.05114100547417834,1.575135589519712,-0.12126354842590732,0.5932888161629716,0.25,0.0,1,10,0.7,4.745294750999999,34.08924186985794,0.054650504914614206,1.4098760874515175,-0.09579231847497614,0.44759814329524383,0.3333333333333333,0.0,1,1.0,32.202080339171836,32.436376316456446,15.369808,True
Afb1SWBvSLBJ3MZbcrx5Bv2Z5VE52hFc9GtyboyHpump,2025-01-10T21:15:28.551016,8,0.75,7.279284864,56.763481904656864,0.0747955473109775,1.0181526840602428,0.05387179500534658,0.8582687053894353,1.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,4,0.25,2.256956143,0.0,0.045273613078257315,0.87541840690496,-0.12003583774745528,0.24398189793527714,0.8,0.0,1,2,1.0,1.104107922,0.0,0.003257575754715121,0.8096057099026954,0.006536444472465789,0.1997607617777895,0.4,0.0,1,2,0.5,2.175102883,0.0,0.035206688966138266,0.060931817081316446,-0.0680186659174299,0.004391247100521714,0.4,0.0,1,5,1.0,2.7652240829999997,0.0,0.039822530293793984,0.6163189119925259,0.12134575260597515,0.11618007203133625,1.0,0.0,1,8,0.75,7.279284864,56.763481904656864,0.0747955473109775,1.0181526840602428,0.05387179500534658,0.8582687053894353,0.8,0.0,1,6,0.5,3.3610640650000003,34.54588227290502,0.03717969026049329,0.8547760604194635,-0.05668239164888295,0.22927451389315082,0.6,0.0,1,7,0.8571428571428571,4.940326966000001,71.06082493318809,0.0546356653233571,0.5349581927106026,0.09900276782380397,0.14254598573722377,0.7,0.0,1,14,0.6428571428571429,10.640348929000002,50.490976661779094,0.06850861150715644,1.0348945466444097,0.005954070496202535,0.6186540574007868,0.7,0.0,1,21,0.7142857142857143,15.580675895000002,59.56710727950467,0.0694224368190532,0.9147399843252788,0.17652299265826396,0.46060571660643224,0.7,0.0,1,1.0,32.25477504278009,39.5463973204407,4.250454,True
Do1YUkX3RXeXSmvxgkCjo33sRFWgkgX5t4P5tyVEpump,2025-01-10T21:14:07.026066,1,1.0,1.912499999,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,1.0,1.912499999,50,0.0,0.0,0,0.0,0.1,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,1.0,1.912499999,50,0.0,0.0,0,0.0,0.05,0.0,1,1,1.0,1.912499999,50,0.0,0.0,0,0.0,0.03333333333333333,0.0,1,1.0,32.63653793666059,32.63653793666059,0.0,True
HbjJygyZhbrAbxW4cN1c8Zu7BGP9UHMR1PVPnuqXYdsw,2025-01-10T21:18:14.318275,1,1.0,0.1982,50,0.0,0.0,0,0.0,0.2,0.0,1,1,1.0,0.980198019,50,0.0,0.0,0,0.0,0.2,0.0,1,1,0.0,0.980198019,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,0.0,0.1982,50,0.0,0.0,0,0.0,0.2,0.0,1,1,1.0,1,50,0.0,0.0,0,0.0,0.2,0.0,1,2,1.0,1.178398019,0.0,0.02746035049758441,0.6636111113489576,0.056471426150356045,0.15288022542998111,0.2,0.0,1,1,0.0,0.980198019,50,0.0,0.0,0,0.0,0.1,0.0,1,2,0.5,1.1982,0.0,0.028163427210631607,0.6691704223001168,0.05795918367179134,0.16072081,0.2,0.0,1,3,0.6666666666666666,2.158596038,50.0,0.0261290375774825,0.5123293959361437,0.0,0.13589353371553875,0.15,0.0,1,5,0.6,3.356796038,62.694982474932985,0.026968286523302788,0.5755496163346513,0.046078056898909626,0.14930537295130986,0.16666666666666666,0.0,1,1.0,38.4875204485864,170.17861468777815,149.687485,False
5AGo4hHKZjzTHPPDU2pRxMH3QHe6qZGEw2jnQmf2pump,2025-01-10T21:23:40.551597,3,1.0,0.20895911,0.0,0.0010787239098593966,1.0089230496141732,0.002645760223863175,0.004938512963598469,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.01,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3,1.0,0.20895911,0.0,0.0010787239098593966,1.0089230496141732,0.002645760223863175,0.004938512963598469,0.3,0.0,1,1,1.0,0.01,50,0.0,0.0,0,0.0,0.1,0.0,1,0,0,0,50,0,0,0,0,0,0,0,4,1.0,0.21895911,0.0,0.001266729523623203,1.2077926268631305,0.003309018204154801,0.004371100619615353,0.2,0.0,1,4,1.0,0.21895911,0.0,0.001266729523623203,1.2077926268631305,0.003309018204154801,0.004371100619615353,0.13333333333333333,0.0,1,1.0,28.331213513558676,28.42496201482084,18.726861,True
8DRejta1qmdMJSmfp4KsjhCizh2DLyjk62sy3hAhpump,2025-01-10T21:17:37.753403,4,1.0,4.205368612,0.0,0.04349496280399201,0.9345009611554792,0.11061605502220058,0.9652674465166441,0.8,0.0,1,6,0.5,12.973352202,29.74296863148733,0.05280767530154146,0.45324466238179195,-0.090799553207984,0.960433528952783,1.2,0.0,1,5,0.6,3.950416689,13.608021456539362,0.03490153931252522,1.4135193968898037,-0.06037125773575043,1.2472380478484437,1.0,0.0,1,3,0.3333333333333333,17.833581686,16.882001701347306,0.0019189407535755564,1.4046225944125164,-0.003540180232126478,69.71944825010429,0.6,0.0,1,4,0.5,0.162768348,90.8095139600218,0.003642007376156914,0.8400262223456565,0.007702367004448243,0.0011684378453949143,0.8,0.0,1,1,1.0,0.050335054,50,0.0,0.0,0,0.0,0.2,0.0,1,10,0.7,17.178720814000002,59.07809864026605,0.054699500122827156,0.6530448528780449,0.08323372505859754,1.2585418596136004,1.0,0.0,1,8,0.5,21.783998375,1.2862176028114334,0.6139551848553699,2.1144743079775434,-0.8642903171251339,33.15126026996611,0.8,0.0,1,5,0.6,0.213103402,93.22288603403767,0.004531044791851903,0.7230301627422324,0.011062931883062817,0.0009496281663260258,0.5,0.0,1,18,0.6111111111111112,38.962719189000005,20.528010782020715,0.37800125176934884,1.8294956803837386,-0.8512161998860374,15.682535652959407,0.9,0.0,1,23,0.6086956521739131,39.175822591000006,20.6206457362985,0.587359101791833,2.1200262234761826,-0.8497796729246592,13.039563163943924,0.7666666666666667,0.0,1,1.0,189.39152850221058,225.64363187221505,5.487638,True
tc7ypU4QZpsJgunvApqKMNWeTMYMcLX3L9AFxqRpump,2025-01-10T21:18:39.202990,14,0.7857142857142857,15.938552401999997,18.24662567708478,0.29647895465936563,3.053046640167375,-0.41774289847684587,12.081157764128745,2.8,0.0,1,3,0.6666666666666666,0.022849287000000003,55.537532606045474,0.0002548951371096977,0.2634543722578122,0.00011761043967100114,4.026369400584002e-06,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.1,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,17,0.7647058823529411,15.961401688999999,18.30325303248425,0.28316872930972,3.390709765223496,-0.417500347076757,10.135039506960858,1.7,0.0,1,1,1.0,0.1,50,0.0,0.0,0,0.0,0.1,0.0,1,0,0,0,50,0,0,0,0,0,0,0,18,0.7777777777777778,16.061401689,18.7319783387008,0.27863412488612493,3.4739700509056295,-0.4140260129374225,9.608907605908751,0.9,0.0,1,18,0.7777777777777778,16.061401689,18.7319783387008,0.27863412488612493,3.4739700509056295,-0.4140260129374225,9.608907605908751,0.6,0.0,1,1.0,60.14282320392791,61.300731448333046,0.818269,True
