mint,creation_time,transaction_count_0to5s,buy_pressure_0to5s,volume_0to5s,rsi_0to5s,price_volatility_0to5s,volume_volatility_0to5s,momentum_0to5s,trade_amount_variance_0to5s,transaction_rate_0to5s,trade_concentration_0to5s,unique_wallets_0to5s,transaction_count_5to10s,buy_pressure_5to10s,volume_5to10s,rsi_5to10s,price_volatility_5to10s,volume_volatility_5to10s,momentum_5to10s,trade_amount_variance_5to10s,transaction_rate_5to10s,trade_concentration_5to10s,unique_wallets_5to10s,transaction_count_10to15s,buy_pressure_10to15s,volume_10to15s,rsi_10to15s,price_volatility_10to15s,volume_volatility_10to15s,momentum_10to15s,trade_amount_variance_10to15s,transaction_rate_10to15s,trade_concentration_10to15s,unique_wallets_10to15s,transaction_count_15to20s,buy_pressure_15to20s,volume_15to20s,rsi_15to20s,price_volatility_15to20s,volume_volatility_15to20s,momentum_15to20s,trade_amount_variance_15to20s,transaction_rate_15to20s,trade_concentration_15to20s,unique_wallets_15to20s,transaction_count_20to25s,buy_pressure_20to25s,volume_20to25s,rsi_20to25s,price_volatility_20to25s,volume_volatility_20to25s,momentum_20to25s,trade_amount_variance_20to25s,transaction_rate_20to25s,trade_concentration_20to25s,unique_wallets_20to25s,transaction_count_25to30s,buy_pressure_25to30s,volume_25to30s,rsi_25to30s,price_volatility_25to30s,volume_volatility_25to30s,momentum_25to30s,trade_amount_variance_25to30s,transaction_rate_25to30s,trade_concentration_25to30s,unique_wallets_25to30s,transaction_count_0to10s,buy_pressure_0to10s,volume_0to10s,rsi_0to10s,price_volatility_0to10s,volume_volatility_0to10s,momentum_0to10s,trade_amount_variance_0to10s,transaction_rate_0to10s,trade_concentration_0to10s,unique_wallets_0to10s,transaction_count_10to20s,buy_pressure_10to20s,volume_10to20s,rsi_10to20s,price_volatility_10to20s,volume_volatility_10to20s,momentum_10to20s,trade_amount_variance_10to20s,transaction_rate_10to20s,trade_concentration_10to20s,unique_wallets_10to20s,transaction_count_20to30s,buy_pressure_20to30s,volume_20to30s,rsi_20to30s,price_volatility_20to30s,volume_volatility_20to30s,momentum_20to30s,trade_amount_variance_20to30s,transaction_rate_20to30s,trade_concentration_20to30s,unique_wallets_20to30s,transaction_count_0to20s,buy_pressure_0to20s,volume_0to20s,rsi_0to20s,price_volatility_0to20s,volume_volatility_0to20s,momentum_0to20s,trade_amount_variance_0to20s,transaction_rate_0to20s,trade_concentration_0to20s,unique_wallets_0to20s,transaction_count_0to30s,buy_pressure_0to30s,volume_0to30s,rsi_0to30s,price_volatility_0to30s,volume_volatility_0to30s,momentum_0to30s,trade_amount_variance_0to30s,transaction_rate_0to30s,trade_concentration_0to30s,unique_wallets_0to30s,initial_investment_ratio,initial_market_cap,peak_market_cap,time_to_peak,hit_peak_before_30
4PfQFRfoeNboKXVTvPpYdyomTRhVf4MxCczhwSMHpump,2025-01-09T22:07:28.546297,4,0.75,1.516707302,50.50326855457124,0.0132927993823971,0.3701966197578993,0.0006207391267093,0.0197037310299041,0.8,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.8571428571428571,6.607226754,95.84355843342902,0.0993029699757844,0.3151430607915644,0.3169289916551091,0.0884825929020104,1.4,0.0,1,3,0.6666666666666666,2.470461639,61.97667333689866,0.0178186448961469,0.2516118552886831,0.0170672566054854,0.0429314858832648,0.6,0.0,1,1,1.0,0.1,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,0.0,4.564826903,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,4,0.75,1.516707302,50.50326855457124,0.0132927993823971,0.3701966197578993,0.0006207391267093,0.0197037310299041,0.4,0.0,1,10,0.8,9.077688393,89.90076146078094,0.1156576199924937,0.3073875778228931,0.4103927389829394,0.0778615718814322,1.0,0.0,1,2,0.5,4.664826903,0.0,0.1170068840147923,0.957125954690542,-0.2095007393226465,4.983669818438143,0.2,0.0,1,14,0.7857142857142857,10.594395695,87.27513246187192,0.157485158627951,0.4544481753908713,0.5031193878990493,0.1182673963428608,0.7,0.0,1,16,0.75,15.259222598,59.713642941593776,0.1550059613185455,1.0474930726047609,0.1940092661562122,0.9979922543659449,0.5333333333333333,0.0,1,1.0,34.846592344743264,61.89874029837256,986.778124,false
4PdGVKyGvsT1qHqYTHNHdZ7BMhFBmTLC6vUjYzctpump,2025-01-09T22:07:34.802945,10,0.6,15.554645264999998,37.55291220059426,0.1244278746990367,0.9757431885635588,-0.1566000832722384,2.303516242158373,2.0,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,4.245665898,0.0,0.0017279017137792,0.9750585621798732,-0.003449842438896,4.284429886915192,0.4,0.0,1,7,0.8571428571428571,13.983762928,87.82675849679146,0.1659000661617633,0.5564312488764678,0.5778653716296088,1.2355918887928663,1.4,0.0,1,7,0.7142857142857143,17.567049408000003,97.92579629736612,0.2800865779454836,1.1561697508152071,1.0108097887414291,8.418694902247811,1.4,0.0,1,17,0.8235294117647058,10.275503677999998,40.18694426388472,0.0613893900596137,1.8119179559725864,-0.0666703776400686,1.1994591257365608,3.4,0.0,1,10,0.6,15.554645264999998,37.55291220059426,0.1244278746990367,0.9757431885635588,-0.1566000832722384,2.303516242158373,1.0,0.0,1,9,0.6666666666666666,18.229428826000003,89.73938457963816,0.250705311843325,0.6833554259649137,0.8889870849826617,1.915818656069663,0.9,0.0,1,24,0.7916666666666666,27.842553086,75.24462319868053,0.1780457781885552,1.735775453959838,0.8788190368021003,4.054923960379562,2.4,0.0,1,19,0.631578947368421,33.784074090999994,57.51692909217971,0.1933767377060739,0.8294038920040918,0.232998578384466,2.1749484994152057,0.95,0.0,1,43,0.7209302325581395,61.626627177,67.19224207823368,0.3916367197484111,1.271060596063258,1.263676719627596,3.3184279958362706,1.4333333333333331,0.0,1,1.0,44.764262193227765,393.6006914538026,119.679792,false
4YZbNRwWRWJQRTGiDyBuJr8U2RKSEpaudwXKPjdZpump,2025-01-09T22:09:17.576707,6,0.8333333333333334,3.745387811,33.058189376547986,0.0384089591246889,0.998928134317812,-0.046310299406527,0.3888298293948185,1.2,0.0,1,1,0.0,0.188444889,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.7142857142857143,3.9338327,30.534605308965865,0.0374163983741281,1.0625134582729117,-0.0576060016681514,0.3565369718416988,0.7,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.7142857142857143,3.9338327,30.534605308965865,0.0374163983741281,1.0625134582729117,-0.0576060016681514,0.3565369718416988,0.35,0.0,1,7,0.7142857142857143,3.9338327,30.534605308965865,0.0374163983741281,1.0625134582729117,-0.0576060016681514,0.3565369718416988,0.2333333333333333,0.0,1,1.0,32.787244876029106,51.2125604315949,790.115893,false
9dEunhRSc7NsZ8gHDJxejyZUhgtSssTF9S2RL4xepump,2025-01-09T22:08:20.026055,10,0.8,17.963110573999998,64.4590409402597,0.1949048672804008,0.9827009880677424,0.3705586204515324,3.1160604339771774,2.0,0.0,1,6,0.6666666666666666,6.842407304,37.22680873118742,0.0517290639876048,0.7826715875757784,-0.0854901905263833,0.7966626953257653,1.2,0.0,1,14,0.7142857142857143,20.977213981999995,62.98311219710815,0.0797816130937104,0.6622007922456618,0.2771027991277959,0.9845072922317932,2.8,0.0,1,31,0.7741935483870968,47.93408559499999,20.23629949249573,0.2864548822586434,2.577702445539644,-0.510322841634498,15.88660412480905,6.2,0.0,1,14,0.6428571428571429,8.759011437,63.238292954312485,0.0533537913406101,1.3210520763750848,0.1115029255335297,0.6831152669460657,2.8,0.0,1,10,0.7,4.072301773,20.1286891228272,0.0557891286178552,2.042923837689296,-0.0933988335106007,0.6921245573283203,2.0,0.0,1,16,0.75,24.805517878,57.92677387917176,0.1593566464594639,0.9881871404565888,0.2826258721472308,2.347118559708588,1.6,0.0,1,45,0.7555555555555555,68.91129957699998,52.06886634923087,0.2432981639485012,2.190359844028068,0.1758509277027511,11.25088772338239,4.5,0.0,1,24,0.6666666666666666,12.831313209999998,52.42600491938013,0.0593857559577028,1.56319133811886,0.0302617241041104,0.698463970890181,2.4,0.0,1,61,0.7540983606557377,93.716817455,54.22282685530284,0.2495868145807464,1.943507372851321,0.6731507029204502,8.91554258548923,3.05,0.0,1,85,0.7294117647058823,106.54813066500002,53.87919589155802,0.2129411694966016,2.0801158669386366,0.7000085714334661,6.798746862228011,2.833333333333333,0.0,1,1.0,32.79704019332434,206.35534717238767,160.218561,false
9ygNdTYmRADmcRecNooGLZypFwFfWe8EeYHvdHPMpump,2025-01-09T22:09:43.612462,22,0.6363636363636364,49.33569612800001,52.86254164856921,0.3659785698830058,0.8122773389740705,0.2658409801859822,3.318072217177233,4.4,0.0,1,15,0.9333333333333332,1.068708294,86.91845897819171,0.0116599316444328,0.9775223418770436,0.0417291320579743,0.0048505303475892,3.0,0.0,1,3,0.6666666666666666,6.141384115999999,93.5358248549552,0.0445406969962045,0.7696762262803838,0.0935538557308795,2.482596609673235,0.6,0.0,1,3,0.6666666666666666,2.495128085,0.0,0.0114999064257484,1.0225345661973928,0.0245966393892326,0.7232678751847003,0.6,0.0,1,1,1.0,0.075869007,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,6,1.0,1.916641472,0.0,0.0140948638523793,1.1511819060935975,0.0440499181607898,0.1352281700984928,1.2,0.0,1,37,0.7567567567567568,50.40440442199999,53.42550412287065,0.3976007849377213,1.294805997210612,0.3233494246941497,3.111307467904683,3.7,0.0,1,6,0.6666666666666666,8.636512200999999,53.76133144714944,0.0356272601287551,0.9756477744310872,0.017480393263214,1.972242882529075,0.6,0.0,1,7,1.0,1.9925104790000003,0.0,0.0297371396057695,1.2329845254550211,0.0955092121941773,0.1231743843468591,0.7,0.0,1,43,0.7441860465116279,59.04091662299999,56.07564626129944,0.3723498365959999,1.2515642920840275,0.6565023843455193,2.953082632861754,2.15,0.0,1,50,0.78,61.03342710199999,57.37684211286348,0.3443749441650886,1.346002212805091,0.8214366453810182,2.699523128355704,1.6666666666666667,0.0,1,1.0,31.51853856000338,106.89164455741135,3.845262,true
9uxPt51Tp1ko6RUkSYodU3YUXEKSjrftSMWRa43spump,2025-01-09T22:09:58.117617,1,1.0,0.24,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.1,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1.0,1.24,0.0,0.0320020455074418,0.6129032258064516,0.0661200684545204,0.1444,0.2,0.0,1,1,1.0,0.1,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1.0,1.34,0.0,0.0314149467781612,0.885264634408174,0.0728484838711909,0.1563555555555555,0.15,0.0,1,3,1.0,1.34,0.0,0.0314149467781612,0.885264634408174,0.0728484838711909,0.1563555555555555,0.1,0.0,1,1.0,29.355315315330323,125.79296405841286,579.830548,false
3ZdoGaUvTgvXUcpWxfFWZGoTDPRyNSqoK8m8rpXGpump,2025-01-09T22:07:29.873415,2,0.5,4.82603647,0.0,0.0736776604418556,0.0,-0.1372435380867191,0.0,0.4,0.0,1,1,1.0,0.009903112,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,9,0.8888888888888888,6.984534225,0.0,0.1180823290370641,0.4647354814572427,0.3988559333692567,0.1300773087319628,1.8,0.0,1,7,0.8571428571428571,3.2016660720000005,99.48418284073314,0.0630541349211126,0.7090706769985686,0.1738713623732483,0.105180453584081,1.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1.0,1.080198019,0.0,0.0249664316994363,0.8148487624656531,0.0512114300699443,0.1936871381628811,0.4,0.0,1,3,0.6666666666666666,4.835939582,0.3937696435351796,0.0710584087830037,0.7027627085210529,-0.1367009782601248,1.283324954309179,0.3,0.0,1,16,0.875,10.186200297,99.8065943298881,0.165253211558898,0.5964253645451103,0.6600472492892933,0.1441772266970153,1.6,0.0,1,2,1.0,1.080198019,0.0,0.0249664316994363,0.8148487624656531,0.0512114300699443,0.1936871381628811,0.2,0.0,1,19,0.8421052631578947,15.022139879,70.34461205860386,0.1635214045821496,0.8489533270970306,0.2998405968954429,0.4505303273074111,0.95,0.0,1,21,0.8571428571428571,16.102337898,73.03900819237708,0.1760876050234488,0.8566622115063774,0.3734844676897935,0.4314778462017846,0.7,0.0,1,1.0,35.728263609155945,88.86908122165907,428.916682,false
AnMu7UaszF1bwyuws7zaGZZjvFMPYwKoeGqna92Ppump,2025-01-09T22:10:26.630944,4,1.0,2.3089538000000003,0.0,0.014901793400121,1.1113931245996544,0.0416695223989006,0.411572089110894,0.8,0.0,1,1,0.0,0.200000014,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.8,2.5089538140000003,76.52108418811807,0.0134102811949359,1.1824026041315678,0.0288840892244314,0.3520270853040314,0.5,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.8,2.5089538140000003,76.52108418811807,0.0134102811949359,1.1824026041315678,0.0288840892244314,0.3520270853040314,0.25,0.0,1,5,0.8,2.5089538140000003,76.52108418811807,0.0134102811949359,1.1824026041315678,0.0288840892244314,0.3520270853040314,0.1666666666666666,0.0,1,1.0,31.478970371124817,32.79068403209873,0.963825,true
FxNNFViJm6ScH3yajBrcUcUuQZ5qGtSM76FBWutMpump,2025-01-09T22:11:05.567140,4,0.75,2.835052573,76.56429229790088,0.0425295857112014,0.6393591089315128,0.0752098599518832,0.205348703339824,0.8,0.0,1,4,0.75,2.009275789,77.91462191122719,0.0171672585334561,0.3986578518209197,0.0431228796732558,0.0401014211835808,0.8,0.0,1,4,0.75,0.7126911419999999,73.07534591920026,0.0084283438360989,0.2207285493963343,0.0148551473167725,0.0015466774641254,0.8,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.736122372,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0.75,4.844328362000001,80.81355581573582,0.0605701566277025,0.6031169702061835,0.1679101347338351,0.133379863777224,0.8,0.0,1,4,0.75,0.7126911419999999,73.07534591920026,0.0084283438360989,0.2207285493963343,0.0148551473167725,0.0015466774641254,0.4,0.0,1,1,0.0,0.736122372,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,12,0.75,5.557019504,80.48811441140548,0.0670681465193141,0.778662605205755,0.1952641972934342,0.1300229415488008,0.6,0.0,1,13,0.6923076923076923,6.293141876,69.81683462478416,0.0646639455668033,0.7312682420796556,0.1463180614538919,0.1253146273998226,0.4333333333333333,0.0,1,1.0,32.90290181323636,53.82513422521125,996.060104,false
Cx4iCMyr2qCyDEEV1kae3H5YY2QTjL8FDpFkjjtypump,2025-01-09T22:11:20.463019,3,0.6666666666666666,0.3962855939999999,75.4796917599066,0.0061381531536582,0.5837434615198087,0.0100320955097398,0.0059459070879962,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,2.535619041,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,3,0.6666666666666666,0.3962855939999999,75.4796917599066,0.0061381531536582,0.5837434615198087,0.0100320955097398,0.0059459070879962,0.3,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,2.535619041,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,3,0.6666666666666666,0.3962855939999999,75.4796917599066,0.0061381531536582,0.5837434615198087,0.0100320955097398,0.0059459070879962,0.15,0.0,1,4,0.5,2.931904635,8.73682352411744,0.0665122423124197,1.4228246568833671,-0.1403578477593824,1.0876332172915262,0.1333333333333333,0.0,1,1.0,32.96865265610432,33.45854292145117,0.853132,true
3BvUagJ2CSUMoUstDNnR6ahrGdW4qpJANenNxuzcpump,2025-01-09T22:11:20.450700,1,1.0,0.5,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,2,0.5,0.510215049,0.0,0.016003965005839,0.9611806354226136,-0.0315037451763234,0.0601252039094701,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.009591175,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,3,0.6666666666666666,1.010215049,1.955895657118674,0.0148643218441312,0.6863116369132671,-0.0308946889904178,0.0534106525077619,0.3,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.009591175,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,3,0.6666666666666666,1.010215049,1.955895657118674,0.0148643218441312,0.6863116369132671,-0.0308946889904178,0.0534106525077619,0.15,0.0,1,4,0.5,1.019806224,1.9201008609367136,0.01600451215473,0.9617688393471095,-0.0314940791131256,0.0601252282356431,0.1333333333333333,0.0,1,1.0,30.824790307548867,30.844175028060224,5.882346,true
7tp3sRGJu5ikZ8rFDm18vSaegaTsKn7Gp6ww6Wywpump,2025-01-09T22:08:57.486833,6,0.8333333333333334,1.323150641,77.20143699670157,0.0193587078231086,0.4794331163331345,0.0423231103039677,0.0111782068177451,1.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1.0,0.240042095,0.0,0.0011758818986052,0.6647080171500752,0.0023545324492973,0.0063646812619972,0.4,0.0,1,1,1.0,0.0999,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,1.0,0.499993803,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.8333333333333334,1.323150641,77.20143699670157,0.0193587078231086,0.4794331163331345,0.0423231103039677,0.0111782068177451,0.6,0.0,1,3,1.0,0.339942095,0.0,0.0034403947441135,0.5809183712605399,0.0082115683598844,0.0043330889641086,0.3,0.0,1,1,1.0,0.499993803,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,9,0.8888888888888888,1.663092736,82.03754407340452,0.0206468833107617,0.5790864505564275,0.0632683784944786,0.0114507707861757,0.45,0.0,1,10,0.9,2.163086539,86.3489498364262,0.025206999911549,0.6413786984801367,0.0944537072759392,0.0192476119097681,0.3333333333333333,0.0,1,1.0,34.45961605550725,51.178355806687286,462.284847,false
EfqTDbZiEn6mjEf7Wiv39yaww72Vz9U917A49eG9pump,2025-01-09T22:09:59.720958,7,0.7142857142857143,7.907831399,78.26940625480813,0.0862150940615586,0.7548574504737288,0.2427990265103573,0.7271911993299802,1.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.186067319,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,3,0.0,3.57066549,0.0,0.0937055211072758,1.0692058048060404,-0.1862174901212404,1.6194906266216025,0.6,0.0,1,3,0.6666666666666666,1.784903443,0.0,0.0039649719109499,1.2438460314767468,0.0096005741752506,0.5476715673162461,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.7142857142857143,7.907831399,78.26940625480813,0.0862150940615586,0.7548574504737288,0.2427990265103573,0.7271911993299802,0.7,0.0,1,4,0.0,3.756732809,0.0,0.0979758911899739,1.2614894063324011,-0.1925271450795747,1.4036791478340107,0.4,0.0,1,3,0.6666666666666666,1.784903443,0.0,0.0039649719109499,1.2438460314767468,0.0096005741752506,0.5476715673162461,0.3,0.0,1,11,0.4545454545454545,11.664564208,49.4850255658108,0.1025693619366268,0.9343039027994672,-0.0069957481052067,0.9815851777268512,0.55,0.0,1,14,0.5,13.449467651,43.7341065386037,0.1443549307516036,1.0011804103873805,-0.0987687362871216,0.925078962819889,0.4666666666666667,0.0,1,1.0,31.32094613999716,41.84849268989762,1.029547,true
Be8kY1Qdne6M3NZSzcECHc1UjLJ6taZdwb3a1wvgpump,2025-01-09T22:12:39.144614,3,0.6666666666666666,5.609616299,0.6440945012767543,0.0832947682319042,0.6999472690631251,-0.1575579995499217,1.7129885101603266,0.6,0.0,1,2,0.5,0.059656925,0.0,0.0006113429871329,0.3636187919508087,-0.0012219389504577,0.0001176398266699,0.4,0.0,1,1,1.0,0.010013994,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,1.0,0.010006454,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,11,0.9090909090909092,3.7652106330000006,79.35309718269245,0.0538170705145863,0.6516493077420947,0.1452743762340902,0.0497532046276523,2.2,0.0,1,7,0.4285714285714285,2.1925313340000003,24.343889748491662,0.0380851808017065,1.1950223966456186,-0.0594170505973053,0.1401030619316184,1.4,0.0,1,5,0.6,5.669273224,1.988785187849501,0.0718145653657594,1.196468880935731,-0.156379302543951,1.8404227028294728,0.5,0.0,1,2,1.0,0.020020448,0.0,0.000322210500118,0.0003766149488762,0.000644628706374,1.4212900000001222e-11,0.2,0.0,1,18,0.7222222222222222,5.9577419670000005,61.392818846971565,0.0483196187946833,0.8813135061814835,0.0900767111475435,0.0850901365962271,1.8,0.0,1,7,0.7142857142857143,5.689293672,2.639568631667558,0.0632606732737602,1.5428156644373854,-0.1552907219507625,1.5723481106298651,0.35,0.0,1,25,0.72,11.647035639,42.752821494703504,0.0630459991585122,1.589422640066937,-0.0732656227873702,0.5483143111422845,0.8333333333333334,0.0,1,1.0,35.48074341897183,116.00863728589808,128.19209,false
HZ7oVeutiFvtypQiNSHHicTdbc3fxWRygWmWn6W8pump,2025-01-09T22:10:58.925364,2,0.5,1.181161192,0.0,0.0185728658541808,0.0,-0.0364684088430051,0.0,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.5,1.549581805,0.0,0.0016513611812575,0.9360062078168246,0.0033081853714179,0.52592823074551,0.4,0.0,1,1,1.0,0.094082813,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.5,1.181161192,0.0,0.0185728658541808,0.0,-0.0364684088430051,0.0,0.2,0.0,1,2,0.5,1.549581805,0.0,0.0016513611812575,0.9360062078168246,0.0033081853714179,0.52592823074551,0.2,0.0,1,1,1.0,0.094082813,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,4,0.5,2.730742997,2.2422847021879875,0.0589441542173284,0.7631713627973028,-0.1231572494844725,0.2714474746279609,0.2,0.0,1,5,0.6,2.82482581,6.241079029618874,0.0569253402269814,0.9241313657587606,-0.1176580064933913,0.2725905263523082,0.1666666666666666,0.0,1,1.0,31.99146825122252,32.53920587281576,72.8093,false
BVvvC7zNPfDhs7fMuyhTzhf1qrxWcatYBi4sthADpump,2025-01-09T22:13:14.238754,4,0.75,2.381031063,75.04435144586044,0.0311236798516887,0.6857191650261492,0.0772706812624866,0.1666106332910584,0.8,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,3,0.0,2.099360618,0.0,0.0284695342139126,0.6959309635169595,-0.0587082998224237,0.2371722653963355,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.75,2.381031063,75.04435144586044,0.0311236798516887,0.6857191650261492,0.0772706812624866,0.1666106332910584,0.4,0.0,1,4,0.25,3.099360618,0.0,0.0543216540156423,0.5695843362878065,-0.1224760739934358,0.1947781843891129,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0.5,5.480391681,50.68450669642453,0.0464212233672156,0.6342051570944437,0.0049624658233179,0.1887568674273747,0.4,0.0,1,8,0.5,5.480391681,50.68450669642453,0.0464212233672156,0.6342051570944437,0.0049624658233179,0.1887568674273747,0.2666666666666666,0.0,1,1.0,29.895956248477276,34.23760084393529,10.076857,true
GHsePr1D72r8BSUKxVZrkew4a6rb1MqFefG8yivipump,2025-01-09T22:11:53.901147,2,0.5,0.98393264,0.0,0.0147969571909781,0.0,-0.029162399603438,0.0,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.04995,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.0075,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.5,0.98393264,0.0,0.0147969571909781,0.0,-0.029162399603438,0.0,0.2,0.0,1,1,1.0,0.04995,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,1,1.0,0.0075,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,3,0.6666666666666666,1.03388264,9.161630415057177,0.0133557060174,0.6046193739496836,-0.0262211851320238,0.0434174282547427,0.15,0.0,1,4,0.75,1.04138264,10.395322570483458,0.012030904536921,0.8915316621308087,-0.0257791772147905,0.0538733804513356,0.1333333333333333,0.0,1,1.0,34.84659235738842,34.84659235738842,0.0,true
